id;reference;date;statut;origine;total_ht;total_tva;total_remise;tot_ttc;devise;points_fidelite;reglement;date_livraison;date_creation;date_annulation;cree_le;cree_par;modifie_le;modifie_par;prenom;nom;adresse;gouvernorat;ville;localite;code_postal;indication;telephone;mobile;frais_livraison
1;"SsZT";2020-05-25;Commandee;Client;67440;74057;70763;27297;EUR;46284;CarteBancaire;2020-05-25;2020-05-26;2020-05-25;2020-05-26;Chief exploit;2020-05-26;circuit Handcrafted Rubber Soap Berkshire;Home Loan Account Rustic Frozen Soap invoice;sensor mobile;Vietnam input Optimized;New Israeli Sheqel Managed;deposit Tennessee Nebraska;channels technologies;32484;Licensed Concrete Chicken hacking granular;86870;53549;57695
2;"cBKI7Qq";2020-05-26;Commandee;Admin;76656;27324;13027;14222;TND;42284;Cash;2020-05-26;2020-05-25;2020-05-26;2020-05-26;Germany;2020-05-25;calculate;azure Macao impactful;Checking Account leading-edge;Mobility Texas;Toys;revolutionize Wisconsin connect;e-tailers bandwidth Ergonomic;27725;Granite Avon Unions;26319;71637;97806
3;"dVWjW1RMJA5";2020-05-26;Reservee;Client;99010;8035;9884;63926;EUR;86281;CarteBancaire;2020-05-25;2020-05-26;2020-05-25;2020-05-26;lavender Estates;2020-05-26;Canada;Slovakia (Slovak Republic) Operations Assurance;models Auto Loan Account;deposit;transmit SMS;matrix Consultant synthesize;purple Puerto Rico;97234;compelling;38404;93941;45546
4;"FI9Wb4cnS";2020-05-25;Livraison;Admin;65749;64796;75638;39202;TND;33095;Cash;2020-05-26;2020-05-26;2020-05-26;2020-05-25;Chicken;2020-05-26;static Movies;Ramp PNG;FTP well-modulated;Wisconsin Greenland best-of-breed;Jewelery;driver cross-platform generating;Checking Account Small Rubber Shoes interfaces;13536;withdrawal;360;35785;11017
5;"Glhsh";2020-05-26;Reservee;Client;19466;17882;11361;52571;EUR;77682;Cash;2020-05-26;2020-05-26;2020-05-25;2020-05-26;CFA Franc BEAC Buckinghamshire;2020-05-26;Tactics Legacy Unbranded Soft Gloves;Assistant Vermont convergence;withdrawal;Plains GB Wooden;Massachusetts Self-enabling;Future-proofed;Key Small;56777;Mobility Buckinghamshire Barbados Dollar;92188;83551;9268
6;"1UgIxR";2020-05-25;Annulee;Client;76671;81168;80184;17399;USD;89376;Cash;2020-05-25;2020-05-26;2020-05-26;2020-05-26;Credit Card Account utilisation portal;2020-05-26;redundant Configuration;card Gorgeous Fresh Salad;Books Electronics;multi-byte;black synthesize;Extended;RAM asynchronous;21172;Points;33170;90028;94902
7;"An4P9PhjnLg";2020-05-25;Livraison;Client;47427;40541;58752;59772;EUR;19549;CarteBancaire;2020-05-26;2020-05-26;2020-05-26;2020-05-26;Investment Account Small Soft Table Ameliorated;2020-05-25;protocol Gorgeous;Vatu sky blue Sleek;Massachusetts;Missouri application Fresh;Brook Incredible Granite Chips;Ergonomic Granite Gloves niches;Solutions matrix;26437;FTP Handcrafted;20105;88612;10721
8;"fB23R8XnQ";2020-05-25;Reservee;Client;17391;75809;13329;41876;EUR;78539;Cheque;2020-05-25;2020-05-26;2020-05-25;2020-05-25;User-centric;2020-05-26;orchid Legacy Enterprise-wide;Customer;haptic engage;mobile Wooden;Metical;Frozen;indigo Bolivar Fuerte Louisiana;68716;Washington hacking;7189;84476;69996
9;"1d";2020-05-25;Livraison;Admin;82937;5393;7433;34484;TND;33622;Cheque;2020-05-25;2020-05-26;2020-05-25;2020-05-25;Berkshire back-end;2020-05-26;Intelligent;Buckinghamshire;Hat;Virginia;Rubber e-markets National;functionalities sensor Croatian Kuna;lime 1080p Integration;68097;digital Palladium Auto Loan Account;22394;55208;65764
10;"DWzamaoS4";2020-05-25;Livraison;Client;76244;58206;27051;65073;TND;92593;Cash;2020-05-26;2020-05-26;2020-05-25;2020-05-25;Credit Card Account online facilitate;2020-05-26;Books Practical Fresh Salad Svalbard & Jan Mayen Islands;Rustic Cotton Tuna Avon;rich Checking Account;Sleek indexing;brand harness;Bedfordshire Handmade;Vermont approach;39447;New Mexico help-desk;54620;10920;97851
